"Sample","SCORE"
"MIP.S33527.clean.bam","0"
"MIP.S33528.clean.bam","1"
"MIP.S33541.clean.bam","1"
"MIP.S33550.clean.bam","1"
"MIP.S33585.clean.bam","0"
"MIP.S33588.clean.bam","1"
"MIP.S33589.clean.bam","1"
"MIP.S33592.clean.bam","1"
"MIP.S33593.clean.bam","1"
"MIP.S33606.clean.bam","1"
"MIP.S33610.clean.bam","1"
"MIP.S33616.clean.bam","1"
"MIP.S33622.clean.bam","0"
"MIP.S33639.clean.bam","0"
"MIP.S33643.clean.bam","1"
"MIP.S34111.clean.bam","1"
"MIP.S34113.clean.bam","0"
"MIP.S34117.clean.bam","1"
"MIP.S34118.clean.bam","1"
"MIP.S34135.clean.bam","0"
"MIP.S34140.clean.bam","0"
"MIP.S34158.clean.bam","0"
"MIP.S34172.clean.bam","0"
"MIP.S34186.clean.bam","0"
"MIP.S34194.clean.bam","1"
"MIP.S34198.clean.bam","1"
"MIP.S34204.clean.bam","0"
"MIP.S34205.clean.bam","1"
"MIP.S34230.clean.bam","0"
"MIP.S34238.clean.bam","1"
"MIP.S34239.clean.bam","0"
"MIP.S34243.clean.bam","0"
"MIP.S34248.clean.bam","0"
"MIP.S34249.clean.bam","1"
"MIP.S34251.clean.bam","0"
"MIP.S34253.clean.bam","0"
"MIP.S35034.clean.bam","0"
"MIP.S35042.clean.bam","0"
"MIP.S35065.clean.bam","0"
"MIP.S35070.clean.bam","0"
"MIP.S35079.clean.bam","1"
"MIP.S35084.clean.bam","0"
"MIP.S35096.clean.bam","0"
"MIP.S35103.clean.bam","0"
"MIP.S35120.clean.bam","0"
"MIP.S35131.clean.bam","1"
"MIP.S35134.clean.bam","1"
"MIP.S35141.clean.bam","0"
"MIP.S35146.clean.bam","1"
"MIP.S35157.clean.bam","0"
"MIP.S35158.clean.bam","0"
"MIP.S35160.clean.bam","1"
"MIP.S35165.clean.bam","0"
"MIP.S35167.clean.bam","0"
"MIP.S35176.clean.bam","0"
"MIP.S35177.clean.bam","1"
"MIP.S35178.clean.bam","0"
"MIP.S35189.clean.bam","0"
"MIP.S35198.clean.bam","0"
"MIP.S35207.clean.bam","0"
"MIP.S35217.clean.bam","1"
"MIP.S35218.clean.bam","0"
"MIP.S35233.clean.bam","1"
"MIP.S35253.clean.bam","0"
"MIP.S35257.clean.bam","1"
"MIP.S35281.clean.bam","1"
"MIP.S35290.clean.bam","1"
"MIP.S35295.clean.bam","0"
